
> temporal-research@0.1.0 phase2 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/phase2.ts

task4 openai/mini iso rep1 specific: 0 items, 0 errors
task4 anthropic/mini iso rep3 ranges: 19 items, 0 errors
task4 anthropic/mini iso rep3 multipart: 0 items, 0 errors
task4 anthropic/mini iso rep3 notime: 0 items, 0 errors
task4 anthropic/mini iso rep3 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 specific: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 relative: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 named: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 custom: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 ranges: 19 items, 0 errors
task4 anthropic/mini iso-preset rep1 multipart: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 notime: 0 items, 0 errors
task4 anthropic/mini iso-preset rep1 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 specific: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 relative: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 named: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 custom: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 ranges: 19 items, 0 errors
task4 anthropic/mini iso-preset rep2 multipart: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 notime: 0 items, 0 errors
task4 anthropic/mini iso-preset rep2 ambiguous: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 specific: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 relative: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 named: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 custom: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 ranges: 19 items, 0 errors
task4 anthropic/mini iso-preset rep3 multipart: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 notime: 0 items, 0 errors
task4 anthropic/mini iso-preset rep3 ambiguous: 0 items, 0 errors
task4 anthropic/mini ir rep1 specific: 0 items, 0 errors
task4 anthropic/mini ir rep1 relative: 0 items, 0 errors
task4 anthropic/mini ir rep1 named: 0 items, 0 errors
task4 anthropic/mini ir rep1 custom: 0 items, 0 errors
task4 anthropic/mini ir rep1 ranges: 0 items, 0 errors
task4 anthropic/mini ir rep1 multipart: 0 items, 0 errors
task4 anthropic/mini ir rep1 notime: 0 items, 0 errors
task4 anthropic/mini ir rep1 ambiguous: 0 items, 0 errors
task4 anthropic/mini ir rep2 specific: 0 items, 0 errors
task4 anthropic/mini ir rep2 relative: 0 items, 0 errors
task4 anthropic/mini ir rep2 named: 0 items, 0 errors
task4 anthropic/mini ir rep2 custom: 0 items, 0 errors
task4 anthropic/mini ir rep2 ranges: 0 items, 0 errors
task4 anthropic/mini ir rep2 multipart: 0 items, 0 errors
task4 anthropic/mini ir rep2 notime: 0 items, 0 errors
task4 anthropic/mini ir rep2 ambiguous: 0 items, 0 errors
task4 anthropic/mini ir rep3 specific: 0 items, 0 errors
task4 anthropic/mini ir rep3 relative: 0 items, 0 errors
task4 anthropic/mini ir rep3 named: 0 items, 0 errors
task4 anthropic/mini ir rep3 custom: 0 items, 0 errors
task4 anthropic/mini ir rep3 ranges: 0 items, 0 errors
task4 anthropic/mini ir rep3 multipart: 0 items, 0 errors
task4 anthropic/mini ir rep3 notime: 0 items, 0 errors
task4 anthropic/mini ir rep3 ambiguous: 0 items, 0 errors
grading 3262 raw rows from results/runs/phase2
wrote results/phase2.json (126 cells)

> temporal-research@0.1.0 phase2 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/phase2.ts

grading 3262 raw rows from results/runs/phase2
wrote results/phase2.json (126 cells)

> temporal-research@0.1.0 phase2:viz /Users/trh/Desktop/time-experiment
> node --import tsx src/harness/phase2-viz.ts

wrote results/phase2-viz.html

> temporal-research@0.1.0 task7 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/task7.ts

task7 openai/mini iso rep1 CH-01: 4/4 hops correct
task7 openai/mini iso rep1 CH-02: 3/4 hops correct
task7 openai/mini iso rep1 CH-03: 5/5 hops correct
task7 openai/mini iso rep1 CH-04: 4/4 hops correct
task7 openai/mini iso rep1 CH-05: 5/5 hops correct
task7 openai/mini iso rep1 CH-06: 2/3 hops correct
task7 openai/mini iso rep2 CH-01: 4/4 hops correct
task7 openai/mini iso rep2 CH-02: 3/4 hops correct
task7 openai/mini iso rep2 CH-03: 5/5 hops correct
task7 openai/mini iso rep2 CH-04: 4/4 hops correct
task7 openai/mini iso rep2 CH-05: 5/5 hops correct
task7 openai/mini iso rep2 CH-06: 2/3 hops correct
task7 openai/mini iso rep3 CH-01: 4/4 hops correct
task7 openai/mini iso rep3 CH-02: 4/4 hops correct
task7 openai/mini iso rep3 CH-03: 5/5 hops correct
task7 openai/mini iso rep3 CH-04: 4/4 hops correct
task7 openai/mini iso rep3 CH-05: 5/5 hops correct
task7 openai/mini iso rep3 CH-06: 3/3 hops correct
task7 openai/mini iso-tool rep1 CH-01: 4/4 hops correct
task7 openai/mini iso-tool rep1 CH-02: 4/4 hops correct
task7 openai/mini iso-tool rep1 CH-03: 5/5 hops correct
task7 openai/mini iso-tool rep1 CH-04: 4/4 hops correct
task7 openai/mini iso-tool rep1 CH-05: 5/5 hops correct
task7 openai/mini iso-tool rep1 CH-06: 3/3 hops correct
task7 openai/mini iso-tool rep2 CH-01: 4/4 hops correct
task7 openai/mini iso-tool rep2 CH-02: 4/4 hops correct
task7 openai/mini iso-tool rep2 CH-03: 5/5 hops correct
task7 openai/mini iso-tool rep2 CH-04: 4/4 hops correct
task7 openai/mini iso-tool rep2 CH-05: 5/5 hops correct
task7 openai/mini iso-tool rep2 CH-06: 3/3 hops correct
task7 openai/mini iso-tool rep3 CH-01: 4/4 hops correct
task7 openai/mini iso-tool rep3 CH-02: 4/4 hops correct
task7 openai/mini iso-tool rep3 CH-03: 5/5 hops correct
task7 openai/mini iso-tool rep3 CH-04: 4/4 hops correct
task7 openai/mini iso-tool rep3 CH-05: 5/5 hops correct
task7 openai/mini iso-tool rep3 CH-06: 3/3 hops correct
task7 openai/mini ir rep1 CH-01: 4/4 hops correct
task7 openai/mini ir rep1 CH-02: 3/4 hops correct
task7 openai/mini ir rep1 CH-03: 4/5 hops correct
task7 openai/mini ir rep1 CH-04: 4/4 hops correct
task7 openai/mini ir rep1 CH-05: 5/5 hops correct
task7 openai/mini ir rep1 CH-06: 3/3 hops correct
task7 openai/mini ir rep2 CH-01: 3/4 hops correct
task7 openai/mini ir rep2 CH-02: 3/4 hops correct
task7 openai/mini ir rep2 CH-03: 4/5 hops correct
task7 openai/mini ir rep2 CH-04: 4/4 hops correct
task7 openai/mini ir rep2 CH-05: 5/5 hops correct
task7 openai/mini ir rep2 CH-06: 3/3 hops correct
task7 openai/mini ir rep3 CH-01: 3/4 hops correct
task7 openai/mini ir rep3 CH-02: 3/4 hops correct
task7 openai/mini ir rep3 CH-03: 5/5 hops correct
task7 openai/mini ir rep3 CH-04: 4/4 hops correct
task7 openai/mini ir rep3 CH-05: 4/5 hops correct
task7 openai/mini ir rep3 CH-06: 3/3 hops correct
task7 anthropic/mini iso rep2 CH-01: 4/4 hops correct
task7 anthropic/mini iso rep2 CH-02: 4/4 hops correct
task7 anthropic/mini iso rep2 CH-03: 5/5 hops correct
task7 anthropic/mini iso rep2 CH-04: 4/4 hops correct
task7 anthropic/mini iso rep2 CH-05: 5/5 hops correct
task7 anthropic/mini iso rep2 CH-06: 3/3 hops correct
task7 anthropic/mini iso rep3 CH-01: 4/4 hops correct
task7 anthropic/mini iso rep3 CH-02: 4/4 hops correct
task7 anthropic/mini iso rep3 CH-03: 5/5 hops correct
task7 anthropic/mini iso rep3 CH-04: 4/4 hops correct
task7 anthropic/mini iso rep3 CH-05: 5/5 hops correct
task7 anthropic/mini iso rep3 CH-06: 3/3 hops correct
task7 anthropic/mini iso-tool rep2 CH-01: 4/4 hops correct
task7 anthropic/mini iso-tool rep2 CH-02: 4/4 hops correct
task7 anthropic/mini iso-tool rep2 CH-03: 5/5 hops correct
task7 anthropic/mini iso-tool rep2 CH-04: 3/4 hops correct
task7 anthropic/mini iso-tool rep2 CH-05: 0/5 hops correct
task7 anthropic/mini iso-tool rep2 CH-06: 3/3 hops correct
task7 anthropic/mini iso-tool rep3 CH-01: 4/4 hops correct
task7 anthropic/mini iso-tool rep3 CH-02: 4/4 hops correct
task7 anthropic/mini iso-tool rep3 CH-03: 5/5 hops correct
task7 anthropic/mini iso-tool rep3 CH-04: 4/4 hops correct
task7 anthropic/mini iso-tool rep3 CH-05: 5/5 hops correct
task7 anthropic/mini iso-tool rep3 CH-06: 2/3 hops correct
task7 anthropic/mini ir rep2 CH-01: 4/4 hops correct
task7 anthropic/mini ir rep2 CH-02: 3/4 hops correct
task7 anthropic/mini ir rep2 CH-03: 4/5 hops correct
task7 anthropic/mini ir rep2 CH-04: 4/4 hops correct
task7 anthropic/mini ir rep2 CH-05: 5/5 hops correct
task7 anthropic/mini ir rep2 CH-06: 3/3 hops correct
task7 anthropic/mini ir rep3 CH-01: 4/4 hops correct
task7 anthropic/mini ir rep3 CH-02: 4/4 hops correct
task7 anthropic/mini ir rep3 CH-03: 4/5 hops correct
task7 anthropic/mini ir rep3 CH-04: 4/4 hops correct
task7 anthropic/mini ir rep3 CH-05: 5/5 hops correct
task7 anthropic/mini ir rep3 CH-06: 3/3 hops correct

aggregating 450 hop rows
wrote results/task7.json
